Score and Grading,Tilki,Ramnagar,Udayapur,Dashrathbasti,Simari,Khallabichawa,Binbari,Kanj,Kasba,Nand Gau,Balmi,Dunga,Khall Jain,Dekhatbhuli (Deuwa Tole),"Bhanubhakta Tole (Saraswati, Bhumiraj)",Bagphanta (Shuktaraj Tole),Rautela Khola (Bishnu Tole),Khutiya Tole,Nuklipur,Purba Lalitpur,Sano Bikree,Badhupuruwa,Thapuwa,Balapur,Bhartapur,Payal,Baidi,Shreelanka,Dakshinshahipur,Belpur,Girdharpur,Farela,Lamkipuruwa,Naya Likepur Shiber,Tihuni,Chanaura,Sangharshanagar,Tediya,Tigra,Bankatti,Banghushra,Rajipur,Sankatti,Shonaha Gau,Bangalipur,Bhagrahiya,Bhagatpur,Patharbojhi,Sonaha,Dangpur,Dhungrahi,Kumra Gau,Lauthuwa Jogipur,Bhaishakhani,Ghorpitta,Guruwa Gau,Jabdi
P14,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,B,B,B,B,B,B,C,B,B,C,C,B,C,C,C,B,C,C,C,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B,C,C,C,C,C,C,C,B
P15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,C,B,B,B,A,C,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P16,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,B,C,D,C,D,D,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,C,B,B,B,B,C,C,B,B,C,D,C,C,C,C,C,C
P17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,C,D,D,D,D,D,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P18,D,D,D,D,D,C,C,C,C,C,C,C,C,D,D,D,D,C,B,C,C,C,C,D,D,C,C,D,D,D,C,C,C,D,C,C,C,C,C,D,C,C,C,C,C,D,D,C,C,C,D,C,C,C,C,C,C
P19,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,D,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
S01,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
S02,B,B,B,B,B,C,C,C,C,C,C,C,C,C,B,C,C,B,C,D,C,D,C,D,D,D,B,D,C,C,B,B,D,D,B,B,B,C,B,C,B,B,B,B,B,C,C,B,B,C,B,B,C,C,C,C,C
S03,C,C,C,D,C,C,C,B,C,C,C,C,B,C,B,C,C,C,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,B,B,B,C,C,C,C,C,C,D,C,C,C,C,B,C,B,C,C,B,B
S04,B,C,B,B,B,C,C,B,A,B,B,B,C,C,B,B,C,C,B,B,D,D,C,B,C,C,A,C,A,B,B,B,C,B,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B
S05,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,B,C,D,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,B,C
S06,C,C,C,D,D,B,B,C,C,C,B,C,C,B,B,C,B,C,B,C,B,B,B,B,C,C,B,C,B,C,C,B,B,C,B,C,B,B,B,C,C,B,B,C,B,C,C,B,B,B,B,B,B,C,B,B,C
S07,B,C,B,C,B,C,C,B,B,C,C,C,B,C,C,C,C,B,C,B,C,D,C,C,C,C,B,C,C,C,B,B,B,B,C,C,B,C,B,C,B,B,B,B,B,B,C,B,B,C,C,C,C,C,C,C,C
S08,B,C,B,B,B,B,B,B,B,C,C,B,B,C,C,B,C,C,C,C,B,D,C,C,C,D,B,C,C,D,B,C,B,C,B,C,B,B,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
S09,C,C,C,B,B,C,C,B,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C,C,B,C,B,C,C,C,C,C,C,C,B,C,B,C,C,D,C,B,C,C,B,C,C,B,B,B,C,C,B,B,C,C,C
S10,B,B,B,B,B,C,C,B,C,B,C,C,B,C,C,D,C,C,D,C,C,C,C,C,D,D,B,D,D,D,B,B,C,D,C,C,B,C,B,D,A,C,B,B,B,C,C,B,B,C,C,C,C,C,C,C,C
S11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,D,D,D,D,C,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12,B,D,B,C,B,C,C,B,C,B,D,D,C,D,D,C,C,C,D,C,B,C,C,D,C,D,A,C,D,D,B,B,D,D,C,D,B,C,B,D,B,D,B,B,C,D,D,C,B,C,D,C,C,C,C,C,C
S13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,D,D,D,D,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S14,C,D,C,C,C,D,D,C,D,D,D,D,D,D,D,C,C,C,C,C,C,D,C,C,C,D,B,C,C,D,C,C,D,D,C,C,C,D,B,C,C,C,C,C,C,D,D,C,C,C,C,C,C,C,C,C,C
S15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,D,D,C,C,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S16,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,B,B,C,C,B,C,C,C,C,B,C,D,C,B,B,C,C,B,B,B,C,B,C,B,C,B,B,B,C,C,B,B,B,C,C,B,C,C,C,B
S17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,D,C,B,C,C,C,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S18,B,C,A,C,A,C,C,A,B,B,C,D,C,D,D,D,D,D,D,C,D,D,C,C,D,C,A,D,D,D,B,B,D,D,C,D,B,D,B,D,A,D,A,A,B,D,D,B,B,D,D,D,D,D,D,D,D
S19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,D,D,D,D,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S20,C,C,C,C,C,C,C,A,C,C,C,C,C,C,C,C,C,C,B,B,B,A,C,C,C,B,B,C,D,C,C,C,C,C,C,C,B,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
S21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,D,C,B,B,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
